0.000000000,N
11.430362811,A:7
13.684761904,D:min7
17.632063492,N
22.171428571,C:maj7
26.710204081,C:min
28.726780045,F:min
30.432653061,Bb
31.766870748,Eb
33.763265306,Ab
35.470997732,Db
37.685850340,G:sus4
38.782653061,G
39.850385487,C:min
43.734852607,F:min
45.616326530,Bb
47.575510204,Eb
49.651904761,Ab
51.681836734,Db
53.551020408,G:sus4
54.638775510,G
55.608163265,C:min
57.573287981,Ab
59.554104308,Eb
61.518367346,Db
63.358571428,C:min
65.290158730,Db
67.395918367,C:min
69.226009070,G:sus4
70.746099773,G
71.273877551,C:min
73.254104308,Ab
75.209954648,Eb
77.139319727,Db
79.106122448,C:min
81.094285714,Db
83.034058956,C:min
85.028571428,G:sus4
86.057142857,G
86.994104308,C:min
89.077551020,C
90.971428571,D:min
92.878843537,G
94.809682539,C
96.810000000,A:7
98.820816326,D:min7
100.825736961,G
102.693877551,C
106.710204081,D:min
108.585986394,G:7
110.633922902,C
112.529863945,A:7
114.553968253,D:min7
116.506122448,G:sus4
117.443922902,G
118.442131519,C:min
120.489795918,F:min
122.457981859,Bb
124.441950113,Eb
126.367346938,Ab
128.326530612,Db
130.345918367,G:sus4
131.300068027,G
132.250045351,C:min
140.098072562,F:min
142.133015873,Bb
144.013492063,Eb
146.033605442,Ab
147.944965986,Db
149.932562358,G:sus4
150.932448979,G
151.921746031,C:min
155.831950113,F:min
157.869047619,Bb
159.815487528,Eb
161.775328798,Ab
163.792199546,Db
165.703469387,G:sus4
166.655079365,G
167.671383219,C:min
169.640408163,C
171.576394557,D:min
173.583673469,G
175.538185941,C
177.502040816,A:7
179.392358276,D:min7
181.401224489,G
183.409569160,C
187.297959183,D:min
189.294557823,G:7
191.248979591,C
193.220249433,A:7
195.156258503,D:min7
197.180272108,G
199.134693877,C
203.052380952,D:min
204.996666666,G
206.956643990,C:maj6
208.948412698,A:7
210.964512471,D:min7
212.881632653,G:sus4
213.878435374,G
214.866961451,C
218.771201814,D:min
220.777346938,G:7
222.796122448,C
224.676666666,A:7
226.649614512,D:min7
228.569229024,G:sus4
229.658752834,G
230.619750566,C
234.569229024,D:min
236.594444444,G:7
238.546258503,C
240.425714285,A:7
242.497029478,D:min7
244.369546485,G:sus4
245.381678004,G
246.321428571,C
248.329387755,D:min
249.313242630,G:sus4
249.717414965,N
251.783854875,C:maj7
263.280249433,N
