0.000000000,N
9.709206349,D
14.539501133,E
19.202902494,A:maj
31.252766439,B:min
33.658480725,B:min/4
36.074761904,F#:min
37.275351473,B:min
37.859024943,C#:min
38.455804988,F#:min
40.905351473,B:min
43.283151927,C#:min
45.681632653,F#:min
47.187324263,A
48.100839002,D
52.884036281,E
57.707324263,G
62.443333333,A
65.317732426,N
67.317120181,A
69.652698412,B:min
72.101927437,B:min/4
74.497959183,F#:min
75.687256235,B:min
76.236870748,C#:min
76.857142857,F#:min
79.281632653,B:min
81.640816326,C#:min
84.081632653,F#:min
85.591383219,A
86.476938775,D
91.257142857,E
96.065306122,G
100.857142857,A
105.663333333,C#
110.500612244,F#:min
115.268934240,C#
120.073469387,D
122.469024943,C#:(1,5)
124.308798185,C:(1,5)
124.604081632,B:(1,5)
127.284580498,A
129.701156462,B:min
132.089795918,B:min/4
134.457142857,F#:min
135.683197278,B:min
136.308707482,C#:min
136.924784580,F#:min
139.292834467,B:min
141.668866213,C#:min
144.092698412,F#:min
145.579274376,A
146.432312925,D
151.240816326,E
156.057687074,G
160.865306122,A
165.598140589,D
170.493605442,E
175.253809523,G
180.035532879,A
182.750204081,N
184.865306122,C#:(1)
189.646938775,F#:(1,5)
194.486712018,C#:(1)
199.240816326,D
201.655124716,C#:(1,5)
203.527029478,A
204.081882086,D
208.828072562,E
213.698707482,G
218.577188208,A
226.578548752,G#:(1,5)
226.890634920,G:(1,5)
227.983673469,F#
229.891383219,N
